block_slot_id,corridor_zone,from_station_code,to_station_code,track_id,slot_type,start_time,end_time,available_duration_minutes,lead_train_before,following_train_after,train_delay_risk_level,is_allocated
COA-SLOT-0042,ZONE_B_MS_TBM,MS,TBM,LINE_2_SUBURBAN_UP,NIGHT_CORRIDOR_VALLEY,2026-09-19 01:00:00,2026-09-19 04:00:00,180,EMU-4002-LAST,EMU-4004-FIRST,LOW,0
COA-SLOT-0043,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,NIGHT_CORRIDOR_VALLEY,2026-09-19 00:30:00,2026-09-19 04:00:00,210,EXP-12637-PANDIAN,FREIGHT-AUTO-MMNK,LOW,0
COA-SLOT-0044,ZONE_C_TBM_CGL,TBM,CGL,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-19 01:15:00,2026-09-19 03:45:00,150,EMU-4015-LAST,EMU-4017-FIRST,LOW,0
COA-SLOT-0045,ZONE_A_MSB_MS,MSB,MS,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-19 01:00:00,2026-09-19 03:30:00,150,EMU-4009-LAST,EMU-4011-FIRST,LOW,0
COA-SLOT-0046,ZONE_B_MS_TBM,MS,TBM,LINE_3_MAIN_DN,MIDDAY_OFFPEAK_VALLEY,2026-09-19 12:10:00,2026-09-19 13:50:00,100,EXP-20608-VANDEBHARAT,EXP-12635-VAIGAI,MEDIUM,0
COA-SLOT-0047,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,MIDDAY_OFFPEAK_VALLEY,2026-09-19 12:30:00,2026-09-19 14:15:00,105,FREIGHT-BOXN-CGL,EMU-4061-SUB,MEDIUM,0
COA-SLOT-0048,ZONE_B_MS_TBM,MS,TBM,LINE_4_MAIN_UP,MIDDAY_OFFPEAK_VALLEY,2026-09-19 12:00:00,2026-09-19 13:40:00,100,EXP-16127-GURUVAYUR,EXP-12606-PALLAVAN,MEDIUM,0
COA-SLOT-0049,ZONE_B_MS_TBM,MS,TBM,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-20 00:45:00,2026-09-20 03:45:00,180,EMU-4001-LAST,EMU-4003-FIRST,LOW,0
COA-SLOT-0050,ZONE_B_MS_TBM,MS,TBM,LINE_2_SUBURBAN_UP,NIGHT_CORRIDOR_VALLEY,2026-09-20 01:00:00,2026-09-20 04:00:00,180,EMU-4002-LAST,EMU-4004-FIRST,LOW,0
COA-SLOT-0051,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,NIGHT_CORRIDOR_VALLEY,2026-09-20 00:30:00,2026-09-20 04:00:00,210,EXP-12637-PANDIAN,FREIGHT-AUTO-MMNK,LOW,0
COA-SLOT-0052,ZONE_C_TBM_CGL,TBM,CGL,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-20 01:15:00,2026-09-20 03:45:00,150,EMU-4015-LAST,EMU-4017-FIRST,LOW,0
COA-SLOT-0053,ZONE_A_MSB_MS,MSB,MS,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-20 01:00:00,2026-09-20 03:30:00,150,EMU-4009-LAST,EMU-4011-FIRST,LOW,0
COA-SLOT-0054,ZONE_B_MS_TBM,MS,TBM,LINE_3_MAIN_DN,MIDDAY_OFFPEAK_VALLEY,2026-09-20 12:10:00,2026-09-20 13:50:00,100,EXP-20608-VANDEBHARAT,EXP-12635-VAIGAI,MEDIUM,0
COA-SLOT-0055,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,MIDDAY_OFFPEAK_VALLEY,2026-09-20 12:30:00,2026-09-20 14:15:00,105,FREIGHT-BOXN-CGL,EMU-4061-SUB,MEDIUM,0
COA-SLOT-0056,ZONE_B_MS_TBM,MS,TBM,LINE_4_MAIN_UP,MIDDAY_OFFPEAK_VALLEY,2026-09-20 12:00:00,2026-09-20 13:40:00,100,EXP-16127-GURUVAYUR,EXP-12606-PALLAVAN,MEDIUM,0
COA-SLOT-0057,ZONE_B_MS_TBM,MS,TBM,LINE_1_SUBURBAN_DN,SUNDAY_MEGA_BLOCK,2026-09-20 09:00:00,2026-09-20 15:00:00,360,SPECIAL-EMU-SUN1,SPECIAL-EMU-SUN2,HIGH,0
COA-SLOT-0058,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,SUNDAY_MEGA_BLOCK,2026-09-20 08:30:00,2026-09-20 14:30:00,360,EXP-SUNDAY-SPL,FREIGHT-AUTO-WKND,HIGH,0
