switch_id,switch_sequence_id,point_number,station_code,station_name,chainage_km,switch_type,turnout_angle,point_machine_type,max_diverging_speed_kmh,connects_from_line,connects_to_line,normal_setting,interlocking_type
SW-MS-23,31,Point 23,MS,Chennai Egmore,4.09,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-24,32,Point 24,MS,Chennai Egmore,4.1,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-25,33,Point 25,MS,Chennai Egmore,4.12,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-26,34,Point 26,MS,Chennai Egmore,4.13,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-27,35,Point 27,MS,Chennai Egmore,4.15,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-28,36,Point 28,MS,Chennai Egmore,4.16,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-29,37,Point 29,MS,Chennai Egmore,4.18,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-30,38,Point 30,MS,Chennai Egmore,4.2,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-31,39,Point 31,MS,Chennai Egmore,4.21,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-32,40,Point 32,MS,Chennai Egmore,4.23,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-33,41,Point 33,MS,Chennai Egmore,4.24,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-34,42,Point 34,MS,Chennai Egmore,4.26,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-35,43,Point 35,MS,Chennai Egmore,4.27,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 2 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-36,44,Point 36,MS,Chennai Egmore,4.29,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 3 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-37,45,Point 37,MS,Chennai Egmore,4.3,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 4 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-38,46,Point 38,MS,Chennai Egmore,4.32,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 5 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-39,47,Point 39,MS,Chennai Egmore,4.33,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 6 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-40,48,Point 40,MS,Chennai Egmore,4.35,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 7 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-41,49,Point 41,MS,Chennai Egmore,4.36,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 8 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-42,50,Point 42,MS,Chennai Egmore,4.38,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 1 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-43,51,Point 43,MS,Chennai Egmore,4.39,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 2 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-44,52,Point 44,MS,Chennai Egmore,4.41,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 3 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-45,53,Point 45,MS,Chennai Egmore,4.42,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 4 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-46,54,Point 46,MS,Chennai Egmore,4.44,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 5 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-47,55,Point 47,MS,Chennai Egmore,4.45,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 6 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-48,56,Point 48,MS,Chennai Egmore,4.47,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 7 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-49,57,Point 49,MS,Chennai Egmore,4.49,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 8 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-50,58,Point 50,MS,Chennai Egmore,4.5,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 1 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-51,59,Point 51,MS,Chennai Egmore,4.52,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-52,60,Point 52,MS,Chennai Egmore,4.53,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-53,61,Point 53,MS,Chennai Egmore,4.55,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-54,62,Point 54,MS,Chennai Egmore,4.56,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-55,63,Point 55,MS,Chennai Egmore,4.58,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-56,64,Point 56,MS,Chennai Egmore,4.59,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ELECTRONIC_INTERLOCKING
SW-MSC-15,65,Point 15,MSC,Chetpet,6.47,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSC-16,66,Point 16,MSC,Chetpet,6.53,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-NBK-41,67,Point 41,NBK,Nungambakkam,8.08,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-NBK-42,68,Point 42,NBK,Nungambakkam,8.12,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MBM-18,69,Point 18,MBM,Mambalam,11.18,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MBM-19,70,Point 19,MBM,Mambalam,11.22,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MBM-20,71,Point 20,MBM,Mambalam,11.28,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MBM-21,72,Point 21,MBM,Mambalam,11.32,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-SP-63,73,Point 63,SP,Saidapet,12.84,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-SP-64,74,Point 64,SP,Saidapet,12.91,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-GDY-25,75,Point 25,GDY,Guindy,14.89,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-GDY-26,76,Point 26,GDY,Guindy,14.96,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-GDY-27,77,Point 27,GDY,Guindy,15.04,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-GDY-28,78,Point 28,GDY,Guindy,15.11,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-STM-31,79,Point 31,STM,St. Thomas Mount,16.93,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-STM-32,80,Point 32,STM,St. Thomas Mount,16.99,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-STM-33,81,Point 33,STM,St. Thomas Mount,17.05,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-STM-34,82,Point 34,STM,St. Thomas Mount,17.1,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-STM-35,83,Point 35,STM,St. Thomas Mount,17.16,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ELECTRONIC_INTERLOCKING
SW-STM-36,84,Point 36,STM,St. Thomas Mount,17.22,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ELECTRONIC_INTERLOCKING
SW-PV-38,85,Point 38,PV,Pallavaram,23.08,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-PV-39,86,Point 39,PV,Pallavaram,23.15,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-CMP-42,87,Point 42,CMP,Chromepet,25.28,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-CMP-43,88,Point 43,CMP,Chromepet,25.35,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-TBMS-48,89,Point 48,TBMS,Tambaram Sanatorium,27.25,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-TBMS-49,90,Point 49,TBMS,Tambaram Sanatorium,27.35,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-TBM-101,91,Point 101,TBM,Tambaram,28.76,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-102,92,Point 102,TBM,Tambaram,28.78,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-103,93,Point 103,TBM,Tambaram,28.8,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-104,94,Point 104,TBM,Tambaram,28.82,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-105,95,Point 105,TBM,Tambaram,28.84,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-106,96,Point 106,TBM,Tambaram,28.86,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-107,97,Point 107,TBM,Tambaram,28.88,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-108,98,Point 108,TBM,Tambaram,28.9,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-109,99,Point 109,TBM,Tambaram,28.92,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-110,100,Point 110,TBM,Tambaram,28.94,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-111,101,Point 111,TBM,Tambaram,28.96,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-112,102,Point 112,TBM,Tambaram,28.98,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-113,103,Point 113,TBM,Tambaram,29.0,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-114,104,Point 114,TBM,Tambaram,29.02,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-115,105,Point 115,TBM,Tambaram,29.04,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-116,106,Point 116,TBM,Tambaram,29.06,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-117,107,Point 117,TBM,Tambaram,29.08,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 2 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-118,108,Point 118,TBM,Tambaram,29.1,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 3 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-119,109,Point 119,TBM,Tambaram,29.12,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 4 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-120,110,Point 120,TBM,Tambaram,29.14,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 5 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-121,111,Point 121,TBM,Tambaram,29.16,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 6 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-122,112,Point 122,TBM,Tambaram,29.19,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 7 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-123,113,Point 123,TBM,Tambaram,29.21,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 8 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-124,114,Point 124,TBM,Tambaram,29.23,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 1 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-125,115,Point 125,TBM,Tambaram,29.25,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 2 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-126,116,Point 126,TBM,Tambaram,29.27,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 3 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-127,117,Point 127,TBM,Tambaram,29.29,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 4 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-128,118,Point 128,TBM,Tambaram,29.31,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 5 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-129,119,Point 129,TBM,Tambaram,29.33,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 6 Loop,NORMAL,ELECTRONIC_INTERLOCKING
SW-TBM-130,120,Point 130,TBM,Tambaram,29.35,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 7 Loop,NORMAL,ELECTRONIC_INTERLOCKING
