monthly_plan_id,scheduled_date,station_code,department,block_type,heavy_machinery,tasks_bundled,block_start_time,block_end_time,duration_hours,coordination_lead_dept
M-BLK-011,2026-09-23,GI,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,10,2026-09-23 00:30:00,2026-09-23 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-012,2026-09-26,GI,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,5,2026-09-26 00:30:00,2026-09-26 02:30:00,2.5,S_AND_T
M-BLK-013,2026-09-29,MBM,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,9,2026-09-29 00:30:00,2026-09-29 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-014,2026-10-02,MBM,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,10,2026-10-02 00:30:00,2026-10-02 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-015,2026-10-05,MBM,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,5,2026-10-05 00:30:00,2026-10-05 02:30:00,2.5,S_AND_T
M-BLK-016,2026-10-08,MKK,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,5,2026-10-08 00:30:00,2026-10-08 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-017,2026-10-11,MKK,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,6,2026-10-11 00:30:00,2026-10-11 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-018,2026-10-14,MKK,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,3,2026-10-14 00:30:00,2026-10-14 02:30:00,2.5,S_AND_T
M-BLK-019,2026-10-17,MMNK,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,8,2026-10-17 00:30:00,2026-10-17 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-020,2026-09-22,MMNK,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,5,2026-09-22 00:30:00,2026-09-22 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-021,2026-09-25,MMNK,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,5,2026-09-25 00:30:00,2026-09-25 02:30:00,2.5,S_AND_T
M-BLK-022,2026-09-28,MN,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,7,2026-09-28 00:30:00,2026-09-28 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-023,2026-10-01,MN,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,8,2026-10-01 00:30:00,2026-10-01 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-024,2026-10-04,MN,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,6,2026-10-04 00:30:00,2026-10-04 02:30:00,2.5,S_AND_T
M-BLK-025,2026-10-07,MPK,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,12,2026-10-07 00:30:00,2026-10-07 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-026,2026-10-10,MPK,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,14,2026-10-10 00:30:00,2026-10-10 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-027,2026-10-13,MPK,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,2,2026-10-13 00:30:00,2026-10-13 02:30:00,2.5,S_AND_T
M-BLK-028,2026-10-16,MS,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,6,2026-10-16 00:30:00,2026-10-16 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-029,2026-09-21,MS,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,8,2026-09-21 00:30:00,2026-09-21 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-030,2026-09-24,MS,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,7,2026-09-24 00:30:00,2026-09-24 02:30:00,2.5,S_AND_T
M-BLK-031,2026-09-27,MSB,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,5,2026-09-27 00:30:00,2026-09-27 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-032,2026-09-30,MSB,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,8,2026-09-30 00:30:00,2026-09-30 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-033,2026-10-03,MSC,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,4,2026-10-03 00:30:00,2026-10-03 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-034,2026-10-06,MSC,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,9,2026-10-06 00:30:00,2026-10-06 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-035,2026-10-09,MSC,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,5,2026-10-09 00:30:00,2026-10-09 02:30:00,2.5,S_AND_T
M-BLK-036,2026-10-12,MSF,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,5,2026-10-12 00:30:00,2026-10-12 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-037,2026-10-15,MSF,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,9,2026-10-15 00:30:00,2026-10-15 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-038,2026-10-18,MSF,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,3,2026-10-18 00:30:00,2026-10-18 02:30:00,2.5,S_AND_T
M-BLK-039,2026-09-23,NBK,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,5,2026-09-23 00:30:00,2026-09-23 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-040,2026-09-26,NBK,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,6,2026-09-26 00:30:00,2026-09-26 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-041,2026-09-29,NBK,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,11,2026-09-29 00:30:00,2026-09-29 02:30:00,2.5,S_AND_T
M-BLK-042,2026-10-02,POTI,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,6,2026-10-02 00:30:00,2026-10-02 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-043,2026-10-05,POTI,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,8,2026-10-05 00:30:00,2026-10-05 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-044,2026-10-08,POTI,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,2,2026-10-08 00:30:00,2026-10-08 02:30:00,2.5,S_AND_T
M-BLK-045,2026-10-11,PRGL,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,6,2026-10-11 00:30:00,2026-10-11 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-046,2026-10-14,PRGL,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,11,2026-10-14 00:30:00,2026-10-14 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-047,2026-10-17,PRGL,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,1,2026-10-17 00:30:00,2026-10-17 02:30:00,2.5,S_AND_T
M-BLK-048,2026-09-22,PV,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,4,2026-09-22 00:30:00,2026-09-22 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-049,2026-09-25,PV,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,9,2026-09-25 00:30:00,2026-09-25 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-050,2026-09-28,PV,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,1,2026-09-28 00:30:00,2026-09-28 02:30:00,2.5,S_AND_T
M-BLK-051,2026-10-01,PZA,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,2,2026-10-01 00:30:00,2026-10-01 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-052,2026-10-04,PZA,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,14,2026-10-04 00:30:00,2026-10-04 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-053,2026-10-07,PZA,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,4,2026-10-07 00:30:00,2026-10-07 02:30:00,2.5,S_AND_T
M-BLK-054,2026-10-10,SKL,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,10,2026-10-10 00:30:00,2026-10-10 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-055,2026-10-13,SKL,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,8,2026-10-13 00:30:00,2026-10-13 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-056,2026-10-16,SKL,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,4,2026-10-16 00:30:00,2026-10-16 02:30:00,2.5,S_AND_T
M-BLK-057,2026-09-21,SP,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,7,2026-09-21 00:30:00,2026-09-21 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-058,2026-09-24,SP,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,8,2026-09-24 00:30:00,2026-09-24 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-059,2026-09-27,SP,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,5,2026-09-27 00:30:00,2026-09-27 02:30:00,2.5,S_AND_T
M-BLK-060,2026-09-30,STM,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,9,2026-09-30 00:30:00,2026-09-30 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-061,2026-10-03,STM,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,16,2026-10-03 00:30:00,2026-10-03 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-062,2026-10-06,STM,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,5,2026-10-06 00:30:00,2026-10-06 02:30:00,2.5,S_AND_T
M-BLK-063,2026-10-09,TBM,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,6,2026-10-09 00:30:00,2026-10-09 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-064,2026-10-12,TBM,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,9,2026-10-12 00:30:00,2026-10-12 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-065,2026-10-15,TBM,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,6,2026-10-15 00:30:00,2026-10-15 02:30:00,2.5,S_AND_T
M-BLK-066,2026-10-18,TBMS,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,9,2026-10-18 00:30:00,2026-10-18 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-067,2026-09-23,TBMS,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,7,2026-09-23 00:30:00,2026-09-23 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-068,2026-09-26,TBMS,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,3,2026-09-26 00:30:00,2026-09-26 02:30:00,2.5,S_AND_T
M-BLK-069,2026-09-29,TLM,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,7,2026-09-29 00:30:00,2026-09-29 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-070,2026-10-02,TLM,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,11,2026-10-02 00:30:00,2026-10-02 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-071,2026-10-05,TLM,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,2,2026-10-05 00:30:00,2026-10-05 02:30:00,2.5,S_AND_T
M-BLK-072,2026-10-08,UPM,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,6,2026-10-08 00:30:00,2026-10-08 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-073,2026-10-11,UPM,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,12,2026-10-11 00:30:00,2026-10-11 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-074,2026-10-14,UPM,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,5,2026-10-14 00:30:00,2026-10-14 02:30:00,2.5,S_AND_T
M-BLK-075,2026-10-17,VDR,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,9,2026-10-17 00:30:00,2026-10-17 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-076,2026-09-22,VDR,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,10,2026-09-22 00:30:00,2026-09-22 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-077,2026-09-25,VDR,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,7,2026-09-25 00:30:00,2026-09-25 02:30:00,2.5,S_AND_T
