signal_id,signal_name,signal_type,aspects_count,aspect_types,chainage_km,section_from_station_code,section_to_station_code,inter_station_sequence,interlocked_gate_code,normal_aspect
GATE-SIG-LC32,Semi-Automatic Gate Signal LC-32 (Peerkankaranai),SEMI_AUTO_GATE,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",31.65,TBM,PRGL,3,LC-32,GREEN
HOME-SIG-PRGL,Perungalathur Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",32.45,TBM,PRGL,4,NONE,GREEN
GATE-SIG-LC33,Semi-Automatic Gate Signal LC-33 (Perungalathur Gate),SEMI_AUTO_GATE,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",32.65,PRGL,VDR,1,LC-33,GREEN
HOME-SIG-VDR,Vandalur Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",34.25,PRGL,VDR,2,NONE,GREEN
GATE-SIG-LC36,Semi-Automatic Gate Signal LC-36 (Kolapakkam),SEMI_AUTO_GATE,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",35.1,VDR,UPM,1,LC-36,GREEN
GATE-SIG-LC43,Semi-Automatic Gate Signal LC-43 (Otteri),SEMI_AUTO_GATE,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",36.65,VDR,UPM,2,LC-43,GREEN
HOME-SIG-UPM,Urapakkam Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",37.3,VDR,UPM,3,NONE,GREEN
ABS-SIG-23,Automatic Signal 23,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",38.5,UPM,GI,1,NONE,GREEN
GATE-SIG-LC45,Semi-Automatic Gate Signal LC-45 (Nandivaram),SEMI_AUTO_GATE,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",39.35,UPM,GI,2,LC-45,GREEN
HOME-SIG-GI,Guduvancheri Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",40.2,UPM,GI,3,NONE,GREEN
GATE-SIG-LC47,Semi-Automatic Gate Signal LC-47 (Market Road),SEMI_AUTO_GATE,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",41.05,GI,POTI,1,LC-47,GREEN
ABS-SIG-24,Automatic Signal 24,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",42.1,GI,POTI,2,NONE,GREEN
ABS-SIG-25,Automatic Signal 25,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",43.1,GI,POTI,3,NONE,GREEN
HOME-SIG-POTI,Potheri Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",43.75,GI,POTI,4,NONE,GREEN
GATE-SIG-LC52,Semi-Automatic Gate Signal LC-52 (SRM Link),SEMI_AUTO_GATE,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",44.65,POTI,MMNK,1,LC-52,GREEN
GATE-SIG-LC55,Semi-Automatic Gate Signal LC-55 (Maraimalai Nagar Ind),SEMI_AUTO_GATE,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",46.05,POTI,MMNK,2,LC-55,GREEN
HOME-SIG-MMNK,Maraimalai Nagar Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",46.75,POTI,MMNK,3,NONE,GREEN
ABS-SIG-26,Automatic Signal 26,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",47.9,MMNK,SKL,1,NONE,GREEN
ABS-SIG-27,Automatic Signal 27,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",48.9,MMNK,SKL,2,NONE,GREEN
ABS-SIG-28,Automatic Signal 28,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",49.9,MMNK,SKL,3,NONE,GREEN
GATE-SIG-LC58,Semi-Automatic Gate Signal LC-58 (Singaperumal Koil),SEMI_AUTO_GATE,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",50.65,MMNK,SKL,4,LC-58,GREEN
HOME-SIG-SKL,Singaperumal Koil Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",51.3,MMNK,SKL,5,NONE,GREEN
ABS-SIG-29,Automatic Signal 29,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",52.4,SKL,CGL,1,NONE,GREEN
ABS-SIG-30,Automatic Signal 30,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",53.5,SKL,CGL,2,NONE,GREEN
ABS-SIG-31,Automatic Signal 31,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",54.6,SKL,CGL,3,NONE,GREEN
GATE-SIG-LC61,Semi-Automatic Gate Signal LC-61 (Paranur MWC),SEMI_AUTO_GATE,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",55.65,SKL,CGL,4,LC-61,GREEN
ABS-SIG-32,Automatic Signal 32,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",56.7,SKL,CGL,5,NONE,GREEN
ABS-SIG-33,Automatic Signal 33,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",57.8,SKL,CGL,6,NONE,GREEN
GATE-SIG-LC64,Semi-Automatic Gate Signal LC-64 (Chengalpattu North),SEMI_AUTO_GATE,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",58.75,SKL,CGL,7,LC-64,GREEN
HOME-SIG-CGL,Chengalpattu Junction Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",59.5,SKL,CGL,8,NONE,GREEN
