scenario_id,scenario_name,train_id,station_id,station_code,station_letter_code,station_name,is_junction,distance_km,scheduled_arrival_mins,signals_in_section,lcs_in_section,switches_at_station,signal_delay_mins,gate_delay_mins,maintenance_delay_mins,accident_delay_mins,actual_arrival_mins,total_delay_mins,is_delayed_binary,dataset_split
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,16,CMP,STA_P,Chromepet,0,25.35,57.4,3,1,2,3.45,0.0,0.0,0.0,79.84,22.44,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,17,TBMS,STA_Q,Tambaram Sanatorium,0,27.36,61.9,3,1,2,0.0,0.0,0.0,0.0,84.34,22.44,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,18,TBM,STA_R,Tambaram,1,29.14,66.2,2,0,42,0.0,0.0,0.0,0.0,88.64,22.44,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,19,PRGL,STA_S,Perungalathur,0,32.64,72.7,4,1,0,1.32,0.0,0.0,0.0,96.46,23.76,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,20,VDR,STA_T,Vandalur,0,34.44,76.7,2,1,3,0.0,4.54,0.0,0.0,105.0,28.3,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,21,UPM,STA_U,Urapakkam,0,37.5,82.2,3,2,2,0.0,5.86,0.0,0.0,116.36,34.16,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,22,GI,STA_V,Guduvancheri,0,40.41,87.5,3,1,5,2.09,2.38,0.0,0.0,126.13,38.63,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,23,POTI,STA_W,Potheri,0,43.94,93.5,4,1,0,3.75,0.0,0.0,0.0,135.88,42.38,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,24,MMNK,STA_X,Maraimalai Nagar,0,46.96,99.0,3,2,8,0.0,5.81,0.0,0.0,147.19,48.19,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,25,SKL,STA_Y,Singaperumal Koil,0,51.48,106.5,5,1,4,1.2,3.29,0.0,0.0,159.18,52.68,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,26,CGL,STA_Z,Chengalpattu Junction,0,59.84,119.0,8,2,28,3.8,6.65,0.0,0.0,182.13,63.13,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,1,MSB,STA_A,Chennai Beach,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,2,MSF,STA_B,Chennai Fort,0,1.8,3.5,2,0,0,2.1,0.0,0.0,0.0,6.1,2.6,0,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,3,MPK,STA_C,Chennai Park,0,3.07,6.5,2,0,4,0.0,0.0,0.0,0.0,9.1,2.6,0,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,4,MS,STA_D,Chennai Egmore,1,4.32,9.5,2,0,36,0.0,0.0,0.0,0.0,12.1,2.6,0,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,5,MSC,STA_E,Chetpet,0,6.56,14.5,3,0,2,1.26,0.0,0.0,0.0,18.36,3.86,0,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,6,NBK,STA_F,Nungambakkam,0,8.15,18.0,2,0,2,0.0,0.0,0.0,0.0,21.86,3.86,0,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,7,MKK,STA_G,Kodambakkam,0,9.68,21.5,2,0,0,0.0,0.0,0.0,0.0,25.36,3.86,0,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,8,MBM,STA_H,Mambalam,0,11.29,25.2,2,0,4,0.0,0.0,0.0,0.0,29.06,3.86,0,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,9,SP,STA_I,Saidapet,0,12.9,28.9,2,0,2,0.0,0.0,0.0,0.0,32.76,3.86,0,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,10,GDY,STA_J,Guindy,1,15.01,33.4,3,0,4,0.0,0.0,0.0,0.0,37.26,3.86,0,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,11,STM,STA_K,St. Thomas Mount,1,17.12,38.4,3,0,6,0.0,0.0,0.0,0.0,42.26,3.86,0,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,12,PZA,STA_L,Pazhavanthangal,0,18.75,42.6,2,0,0,1.44,0.0,0.0,0.0,47.9,5.3,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,13,MN,STA_M,Meenambakkam,0,20.04,45.6,2,0,0,1.55,0.0,0.0,0.0,52.45,6.85,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,14,TLM,STA_N,Tirusulam,0,21.22,48.4,2,0,0,0.0,0.0,0.0,0.0,55.25,6.85,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,15,PV,STA_O,Pallavaram,0,23.15,52.7,2,0,2,0.0,0.0,0.0,0.0,59.55,6.85,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,16,CMP,STA_P,Chromepet,0,25.35,57.4,3,1,2,2.12,0.0,0.0,0.0,66.37,8.97,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,17,TBMS,STA_Q,Tambaram Sanatorium,0,27.36,61.9,3,1,2,2.85,0.0,0.0,0.0,73.72,11.82,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,18,TBM,STA_R,Tambaram,1,29.14,66.2,2,0,42,2.53,0.0,0.0,0.0,80.55,14.35,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,19,PRGL,STA_S,Perungalathur,0,32.64,72.7,4,1,0,3.22,0.0,0.0,0.0,90.27,17.57,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,20,VDR,STA_T,Vandalur,0,34.44,76.7,2,1,3,1.98,4.87,0.0,0.0,101.12,24.42,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,21,UPM,STA_U,Urapakkam,0,37.5,82.2,3,2,2,0.0,5.5,13.94,0.0,126.06,43.86,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,22,GI,STA_V,Guduvancheri,0,40.41,87.5,3,1,5,0.0,0.0,12.67,0.0,144.03,56.53,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,23,POTI,STA_W,Potheri,0,43.94,93.5,4,1,0,0.0,0.0,14.65,0.0,164.68,71.18,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,24,MMNK,STA_X,Maraimalai Nagar,0,46.96,99.0,3,2,8,0.0,8.32,11.53,0.0,190.03,91.03,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,25,SKL,STA_Y,Singaperumal Koil,0,51.48,106.5,5,1,4,0.0,0.0,14.28,0.0,211.81,105.31,1,TRAIN
3,Midday Civil Ballast Cleaning Block,SR-EMU-03,26,CGL,STA_Z,Chengalpattu Junction,0,59.84,119.0,8,2,28,0.0,5.56,9.73,0.0,239.6,120.6,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,1,MSB,STA_A,Chennai Beach,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,2,MSF,STA_B,Chennai Fort,0,1.8,3.5,2,0,0,0.0,0.0,0.0,0.0,4.0,0.5,0,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,3,MPK,STA_C,Chennai Park,0,3.07,6.5,2,0,4,0.0,0.0,0.0,0.0,7.0,0.5,0,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,4,MS,STA_D,Chennai Egmore,1,4.32,9.5,2,0,36,0.0,0.0,0.0,0.0,10.0,0.5,0,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,5,MSC,STA_E,Chetpet,0,6.56,14.5,3,0,2,0.0,0.0,0.0,0.0,15.0,0.5,0,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,6,NBK,STA_F,Nungambakkam,0,8.15,18.0,2,0,2,1.15,0.0,0.0,0.0,19.65,1.65,0,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,7,MKK,STA_G,Kodambakkam,0,9.68,21.5,2,0,0,1.61,0.0,0.0,0.0,24.76,3.26,0,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,8,MBM,STA_H,Mambalam,0,11.29,25.2,2,0,4,0.0,0.0,0.0,0.0,28.46,3.26,0,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,9,SP,STA_I,Saidapet,0,12.9,28.9,2,0,2,0.0,0.0,0.0,0.0,32.16,3.26,0,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,10,GDY,STA_J,Guindy,1,15.01,33.4,3,0,4,1.64,0.0,0.0,0.0,38.3,4.9,0,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,11,STM,STA_K,St. Thomas Mount,1,17.12,38.4,3,0,6,0.0,0.0,0.0,0.0,43.3,4.9,0,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,12,PZA,STA_L,Pazhavanthangal,0,18.75,42.6,2,0,0,0.0,0.0,0.0,0.0,47.5,4.9,0,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,13,MN,STA_M,Meenambakkam,0,20.04,45.6,2,0,0,1.94,0.0,0.0,0.0,52.44,6.84,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,14,TLM,STA_N,Tirusulam,0,21.22,48.4,2,0,0,0.0,0.0,0.0,0.0,55.24,6.84,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,15,PV,STA_O,Pallavaram,0,23.15,52.7,2,0,2,0.0,0.0,0.0,0.0,59.54,6.84,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,16,CMP,STA_P,Chromepet,0,25.35,57.4,3,1,2,2.13,0.0,0.0,0.0,66.37,8.97,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,17,TBMS,STA_Q,Tambaram Sanatorium,0,27.36,61.9,3,1,2,0.0,0.0,16.85,0.0,87.72,25.82,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,18,TBM,STA_R,Tambaram,1,29.14,66.2,2,0,42,0.0,0.0,13.04,0.0,105.06,38.86,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,19,PRGL,STA_S,Perungalathur,0,32.64,72.7,4,1,0,2.1,0.0,16.83,0.0,130.49,57.79,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,20,VDR,STA_T,Vandalur,0,34.44,76.7,2,1,3,0.0,0.0,15.98,0.0,150.47,73.77,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,21,UPM,STA_U,Urapakkam,0,37.5,82.2,3,2,2,0.0,5.32,11.76,0.0,173.05,90.85,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,22,GI,STA_V,Guduvancheri,0,40.41,87.5,3,1,5,1.12,4.04,13.23,0.0,196.74,109.24,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,23,POTI,STA_W,Potheri,0,43.94,93.5,4,1,0,2.43,3.87,10.22,0.0,219.26,125.76,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,24,MMNK,STA_X,Maraimalai Nagar,0,46.96,99.0,3,2,8,2.51,7.86,11.09,0.0,246.22,147.22,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,25,SKL,STA_Y,Singaperumal Koil,0,51.48,106.5,5,1,4,1.35,0.0,11.69,0.0,266.76,160.26,1,TRAIN
4,Afternoon OHE Traction Power Block,SR-EMU-04,26,CGL,STA_Z,Chengalpattu Junction,0,59.84,119.0,8,2,28,4.18,8.51,16.66,0.0,308.61,189.61,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,1,MSB,STA_A,Chennai Beach,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,2,MSF,STA_B,Chennai Fort,0,1.8,3.5,2,0,0,1.16,0.0,0.0,0.0,5.16,1.66,0,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,3,MPK,STA_C,Chennai Park,0,3.07,6.5,2,0,4,2.25,0.0,0.0,0.0,10.41,3.91,0,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,4,MS,STA_D,Chennai Egmore,1,4.32,9.5,2,0,36,0.0,0.0,0.0,0.0,13.41,3.91,0,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,5,MSC,STA_E,Chetpet,0,6.56,14.5,3,0,2,2.73,0.0,0.0,0.0,21.14,6.64,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,6,NBK,STA_F,Nungambakkam,0,8.15,18.0,2,0,2,0.0,0.0,0.0,0.0,24.64,6.64,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,7,MKK,STA_G,Kodambakkam,0,9.68,21.5,2,0,0,0.0,0.0,0.0,0.0,28.14,6.64,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,8,MBM,STA_H,Mambalam,0,11.29,25.2,2,0,4,0.0,0.0,0.0,0.0,31.84,6.64,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,9,SP,STA_I,Saidapet,0,12.9,28.9,2,0,2,0.0,0.0,0.0,35.0,70.54,41.64,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,10,GDY,STA_J,Guindy,1,15.01,33.4,3,0,4,1.09,0.0,0.0,0.0,76.13,42.73,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,11,STM,STA_K,St. Thomas Mount,1,17.12,38.4,3,0,6,1.37,0.0,0.0,0.0,82.5,44.1,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,12,PZA,STA_L,Pazhavanthangal,0,18.75,42.6,2,0,0,0.0,0.0,0.0,0.0,86.7,44.1,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,13,MN,STA_M,Meenambakkam,0,20.04,45.6,2,0,0,0.0,0.0,0.0,0.0,89.7,44.1,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,14,TLM,STA_N,Tirusulam,0,21.22,48.4,2,0,0,2.64,0.0,0.0,0.0,95.14,46.74,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,15,PV,STA_O,Pallavaram,0,23.15,52.7,2,0,2,0.0,0.0,0.0,0.0,99.44,46.74,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,16,CMP,STA_P,Chromepet,0,25.35,57.4,3,1,2,2.62,0.0,0.0,0.0,106.76,49.36,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,17,TBMS,STA_Q,Tambaram Sanatorium,0,27.36,61.9,3,1,2,3.17,0.0,0.0,0.0,114.43,52.53,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,18,TBM,STA_R,Tambaram,1,29.14,66.2,2,0,42,1.02,0.0,0.0,0.0,119.75,53.55,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,19,PRGL,STA_S,Perungalathur,0,32.64,72.7,4,1,0,3.02,0.0,0.0,0.0,129.27,56.57,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,20,VDR,STA_T,Vandalur,0,34.44,76.7,2,1,3,0.0,0.0,0.0,0.0,133.27,56.57,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,21,UPM,STA_U,Urapakkam,0,37.5,82.2,3,2,2,2.84,4.61,0.0,0.0,146.22,64.02,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,22,GI,STA_V,Guduvancheri,0,40.41,87.5,3,1,5,0.0,0.0,0.0,0.0,151.52,64.02,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,23,POTI,STA_W,Potheri,0,43.94,93.5,4,1,0,0.0,4.95,0.0,0.0,162.47,68.97,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,24,MMNK,STA_X,Maraimalai Nagar,0,46.96,99.0,3,2,8,0.0,6.57,0.0,0.0,174.54,75.54,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,25,SKL,STA_Y,Singaperumal Koil,0,51.48,106.5,5,1,4,2.72,4.55,0.0,0.0,189.31,82.81,1,TRAIN
5,Morning Critical Accident at Point 63,SR-EMU-05,26,CGL,STA_Z,Chengalpattu Junction,0,59.84,119.0,8,2,28,0.0,9.76,0.0,0.0,211.57,92.57,1,TRAIN
