opening_id,gate_code,location_name,kilometer_marker,between_station_from_id,between_station_to_id,station_pair,open_timestamp,close_timestamp,open_duration_seconds,delay_impact_minutes
20,LC-27,Chromepet (MIT Gate),25.8,16,17,CMP - TBMS,2026-09-15 06:34:51,2026-09-15 06:42:31,460,7.67
21,LC-26,Chromepet (Radha Nagar Gate),24.8,15,16,PV - CMP,2026-09-15 06:41:41,2026-09-15 06:47:59,378,6.3
22,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 07:02:59,2026-09-15 07:10:11,432,7.2
23,LC-61,Paranur (Mahindra World City Gate),56.4,25,26,SKL - CGL,2026-09-15 07:25:26,2026-09-15 07:31:30,364,6.07
24,LC-26,Chromepet (Radha Nagar Gate),24.8,15,16,PV - CMP,2026-09-15 07:46:55,2026-09-15 07:52:37,342,5.7
25,LC-58,Singaperumal Koil (Temple Gate),52.3,24,25,MMNK - SKL,2026-09-15 08:05:24,2026-09-15 08:09:24,240,4.0
26,LC-61,Paranur (Mahindra World City Gate),56.4,25,26,SKL - CGL,2026-09-15 08:28:59,2026-09-15 08:36:19,440,7.33
27,LC-61,Paranur (Mahindra World City Gate),56.4,25,26,SKL - CGL,2026-09-15 08:49:27,2026-09-15 08:56:25,418,6.97
28,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 09:04:12,2026-09-15 09:09:27,315,5.25
29,LC-26,Chromepet (Radha Nagar Gate),24.8,15,16,PV - CMP,2026-09-15 09:21:37,2026-09-15 09:28:45,428,7.13
30,LC-61,Paranur (Mahindra World City Gate),56.4,25,26,SKL - CGL,2026-09-15 09:50:03,2026-09-15 09:54:15,252,4.2
31,LC-27,Chromepet (MIT Gate),25.8,16,17,CMP - TBMS,2026-09-15 10:05:03,2026-09-15 10:11:13,370,6.17
32,LC-27,Chromepet (MIT Gate),25.8,16,17,CMP - TBMS,2026-09-15 10:25:04,2026-09-15 10:31:36,392,6.53
33,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 10:47:25,2026-09-15 10:51:55,270,4.5
34,LC-58,Singaperumal Koil (Temple Gate),52.3,24,25,MMNK - SKL,2026-09-15 11:01:39,2026-09-15 11:05:59,260,4.33
35,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 11:30:59,2026-09-15 11:36:05,306,5.1
36,LC-58,Singaperumal Koil (Temple Gate),52.3,24,25,MMNK - SKL,2026-09-15 11:50:15,2026-09-15 11:55:22,307,5.12
37,LC-47,Guduvancheri (Market Road Gate),41.2,21,22,UPM - GI,2026-09-15 12:04:42,2026-09-15 12:11:27,405,6.75
38,LC-27,Chromepet (MIT Gate),25.8,16,17,CMP - TBMS,2026-09-15 12:34:20,2026-09-15 12:42:17,477,7.95
39,LC-27,Chromepet (MIT Gate),25.8,16,17,CMP - TBMS,2026-09-15 12:40:29,2026-09-15 12:47:08,399,6.65
40,LC-47,Guduvancheri (Market Road Gate),41.2,21,22,UPM - GI,2026-09-15 13:02:34,2026-09-15 13:07:28,294,4.9
41,LC-27,Chromepet (MIT Gate),25.8,16,17,CMP - TBMS,2026-09-15 13:24:59,2026-09-15 13:30:28,329,5.48
42,LC-33,Perungalathur (Peerkankaranai Gate),32.2,18,19,TBM - PRGL,2026-09-15 13:47:23,2026-09-15 13:52:35,312,5.2
43,LC-47,Guduvancheri (Market Road Gate),41.2,21,22,UPM - GI,2026-09-15 14:14:53,2026-09-15 14:21:12,379,6.32
44,LC-47,Guduvancheri (Market Road Gate),41.2,21,22,UPM - GI,2026-09-15 14:20:42,2026-09-15 14:28:11,449,7.48
45,LC-47,Guduvancheri (Market Road Gate),41.2,21,22,UPM - GI,2026-09-15 14:43:56,2026-09-15 14:48:30,274,4.57
46,LC-33,Perungalathur (Peerkankaranai Gate),32.2,18,19,TBM - PRGL,2026-09-15 15:03:56,2026-09-15 15:08:23,267,4.45
47,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 15:28:18,2026-09-15 15:34:52,394,6.57
48,LC-47,Guduvancheri (Market Road Gate),41.2,21,22,UPM - GI,2026-09-15 15:50:13,2026-09-15 15:57:08,415,6.92
49,LC-26,Chromepet (Radha Nagar Gate),24.8,15,16,PV - CMP,2026-09-15 16:15:16,2026-09-15 16:23:07,471,7.85
50,LC-47,Guduvancheri (Market Road Gate),41.2,21,22,UPM - GI,2026-09-15 16:22:40,2026-09-15 16:28:28,348,5.8
51,LC-33,Perungalathur (Peerkankaranai Gate),32.2,18,19,TBM - PRGL,2026-09-15 16:41:00,2026-09-15 16:46:25,325,5.42
52,LC-61,Paranur (Mahindra World City Gate),56.4,25,26,SKL - CGL,2026-09-15 17:08:10,2026-09-15 17:15:19,429,7.15
53,LC-27,Chromepet (MIT Gate),25.8,16,17,CMP - TBMS,2026-09-15 17:33:35,2026-09-15 17:37:37,242,4.03
54,LC-33,Perungalathur (Peerkankaranai Gate),32.2,18,19,TBM - PRGL,2026-09-15 17:42:56,2026-09-15 17:49:52,416,6.93
55,LC-33,Perungalathur (Peerkankaranai Gate),32.2,18,19,TBM - PRGL,2026-09-15 18:01:53,2026-09-15 18:07:27,334,5.57
56,LC-47,Guduvancheri (Market Road Gate),41.2,21,22,UPM - GI,2026-09-15 18:33:08,2026-09-15 18:37:18,250,4.17
57,LC-26,Chromepet (Radha Nagar Gate),24.8,15,16,PV - CMP,2026-09-15 18:51:57,2026-09-15 18:59:55,478,7.97
58,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 19:11:13,2026-09-15 19:18:07,414,6.9
59,LC-58,Singaperumal Koil (Temple Gate),52.3,24,25,MMNK - SKL,2026-09-15 19:23:22,2026-09-15 19:30:41,439,7.32
60,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 19:44:59,2026-09-15 19:52:57,478,7.97
61,LC-33,Perungalathur (Peerkankaranai Gate),32.2,18,19,TBM - PRGL,2026-09-15 20:05:51,2026-09-15 20:13:18,447,7.45
62,LC-52,Potheri (SRM University Link Gate),44.8,23,24,POTI - MMNK,2026-09-15 20:33:01,2026-09-15 20:37:46,285,4.75
63,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 20:53:51,2026-09-15 21:00:42,411,6.85
64,LC-27,Chromepet (MIT Gate),25.8,16,17,CMP - TBMS,2026-09-15 21:08:10,2026-09-15 21:15:31,441,7.35
65,LC-61,Paranur (Mahindra World City Gate),56.4,25,26,SKL - CGL,2026-09-15 21:32:55,2026-09-15 21:37:04,249,4.15
66,LC-61,Paranur (Mahindra World City Gate),56.4,25,26,SKL - CGL,2026-09-15 21:47:12,2026-09-15 21:54:41,449,7.48
67,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 22:11:19,2026-09-15 22:18:49,450,7.5
68,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 22:27:01,2026-09-15 22:33:49,408,6.8
69,LC-27,Chromepet (MIT Gate),25.8,16,17,CMP - TBMS,2026-09-15 22:52:21,2026-09-15 22:57:32,311,5.18
70,LC-58,Singaperumal Koil (Temple Gate),52.3,24,25,MMNK - SKL,2026-09-15 23:08:22,2026-09-15 23:15:06,404,6.73
71,LC-47,Guduvancheri (Market Road Gate),41.2,21,22,UPM - GI,2026-09-15 23:30:01,2026-09-15 23:34:30,269,4.48
72,LC-26,Chromepet (Radha Nagar Gate),24.8,15,16,PV - CMP,2026-09-15 23:45:37,2026-09-15 23:50:44,307,5.12
