block_plan_id,slot_id,corridor_zone,station_code,chainage_km,track_id,start_time,end_time,available_slot_hours,allocated_block_hours,uncoordinated_baseline_hours,hours_saved_by_coordination,is_multi_department_joint,departments_count,departments_list,tasks_count,defect_ids,work_summary,conflict_free_verified
W-BLK-011,COA-SLOT-0013,ZONE_A_MSB_MS,MS,4.32,LINE_1_SUBURBAN_DN,2026-09-15 01:00:00,2026-09-15 03:30:00,2.5,2.5,15.0,12.5,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",6,SMMS-DEF-0241; SMMS-DEF-0237; SMMS-DEF-0032; SMMS-DEF-0184; TDMS-DEF-0181; TMS-DEF-0048,SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | TDMS: NEUTRAL_SECTION_MAINTENANCE | TMS: IMR_ULTRASONIC_FLAW,1
W-BLK-012,COA-SLOT-0010,ZONE_B_MS_TBM,PV,23.6,LINE_2_SUBURBAN_UP,2026-09-15 01:00:00,2026-09-15 04:00:00,3.0,3.0,13.5,10.5,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",5,TDMS-DEF-0019; TDMS-DEF-0168; SMMS-DEF-0106; SMMS-DEF-0250; TMS-DEF-0071,TDMS: NEUTRAL_SECTION_MAINTENANCE | TDMS: CONTACT_WIRE_CONDEMNING_WEAR | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: ELECTRONIC_INTERLOCKING_CARD | TMS: RAIL_FRACTURE_RISK,1
W-BLK-013,COA-SLOT-0012,ZONE_C_TBM_CGL,TBM,29.4,LINE_1_SUBURBAN_DN,2026-09-15 01:15:00,2026-09-15 03:45:00,2.5,2.5,4.5,2.0,1,2,"ENGINEERING_CIVIL, S_AND_T",2,SMMS-DEF-0223; TMS-DEF-0294,SMMS: SIGNAL_ASPECT_LED_DEGRADATION | TMS: RAIL_FRACTURE_RISK,1
W-BLK-014,COA-SLOT-0016,ZONE_B_MS_TBM,SP,12.9,LINE_4_MAIN_UP,2026-09-15 12:00:00,2026-09-15 13:40:00,1.6666666666666667,1.67,14.0,12.33,1,2,"ENGINEERING_CIVIL, S_AND_T",5,SMMS-DEF-0236; SMMS-DEF-0179; SMMS-DEF-0231; SMMS-DEF-0100; TMS-DEF-0113,SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | TMS: TRACK_GEOMETRY_BAD_TGI,1
W-BLK-015,COA-SLOT-0014,ZONE_B_MS_TBM,STM,17.54,LINE_3_MAIN_DN,2026-09-15 12:10:00,2026-09-15 13:50:00,1.6666666666666667,1.67,11.5,9.83,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",5,SMMS-DEF-0170; SMMS-DEF-0099; TDMS-DEF-0182; SMMS-DEF-0119; TMS-DEF-0261,SMMS: AXLE_COUNTER_DRIFT | SMMS: POINT_GROUND_CONNECTION_WEAR | TDMS: SECTION_INSULATOR_PITTING | SMMS: ELECTRONIC_INTERLOCKING_CARD | TMS: RAIL_FRACTURE_RISK,1
W-BLK-016,COA-SLOT-0015,ZONE_C_TBM_CGL,MMNK,47.3,3RD_LINE_BIDIRECTIONAL,2026-09-15 12:30:00,2026-09-15 14:15:00,1.75,1.75,9.5,7.75,1,2,"ELECTRICAL_TRD, S_AND_T",4,TDMS-DEF-0060; SMMS-DEF-0224; SMMS-DEF-0086; SMMS-DEF-0204,TDMS: NEUTRAL_SECTION_MAINTENANCE | SMMS: ELECTRONIC_INTERLOCKING_CARD | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: POINT_GROUND_CONNECTION_WEAR,1
W-BLK-017,COA-SLOT-0019,ZONE_C_TBM_CGL,UPM,37.15,3RD_LINE_BIDIRECTIONAL,2026-09-16 00:30:00,2026-09-16 04:00:00,3.5,3.5,11.5,8.0,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",4,TMS-DEF-0250; TDMS-DEF-0087; TMS-DEF-0230; SMMS-DEF-0105,TMS: IMR_ULTRASONIC_FLAW | TDMS: SECTION_INSULATOR_PITTING | TMS: RAIL_FRACTURE_RISK | SMMS: POINT_GROUND_CONNECTION_WEAR,1
W-BLK-018,COA-SLOT-0017,ZONE_B_MS_TBM,MSC,6.63,LINE_1_SUBURBAN_DN,2026-09-16 00:45:00,2026-09-16 03:45:00,3.0,3.0,14.5,11.5,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",6,SMMS-DEF-0090; SMMS-DEF-0120; SMMS-DEF-0197; SMMS-DEF-0136; TMS-DEF-0109; TDMS-DEF-0061,SMMS: ELECTRONIC_INTERLOCKING_CARD | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | TMS: RAIL_FRACTURE_RISK | TDMS: SECTION_INSULATOR_PITTING,1
W-BLK-019,COA-SLOT-0018,ZONE_B_MS_TBM,SP,12.48,LINE_2_SUBURBAN_UP,2026-09-16 01:00:00,2026-09-16 04:00:00,3.0,3.0,11.5,8.5,1,2,"ENGINEERING_CIVIL, S_AND_T",5,SMMS-DEF-0112; SMMS-DEF-0175; SMMS-DEF-0152; SMMS-DEF-0249; TMS-DEF-0005,SMMS: SIGNAL_ASPECT_LED_DEGRADATION | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | TMS: RAIL_FRACTURE_RISK,1
W-BLK-020,COA-SLOT-0021,ZONE_A_MSB_MS,MS,4.32,LINE_1_SUBURBAN_DN,2026-09-16 01:00:00,2026-09-16 03:30:00,2.5,2.5,12.0,9.5,1,2,"ENGINEERING_CIVIL, S_AND_T",5,SMMS-DEF-0085; SMMS-DEF-0107; SMMS-DEF-0178; SMMS-DEF-0002; TMS-DEF-0269,SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: ELECTRONIC_INTERLOCKING_CARD | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | TMS: RAIL_FRACTURE_RISK,1
W-BLK-021,COA-SLOT-0020,ZONE_C_TBM_CGL,SKL,51.8,LINE_1_SUBURBAN_DN,2026-09-16 01:15:00,2026-09-16 03:45:00,2.5,2.5,4.5,2.0,1,2,"ENGINEERING_CIVIL, S_AND_T",2,SMMS-DEF-0053; TMS-DEF-0182,SMMS: ELECTRONIC_INTERLOCKING_CARD | TMS: IMR_ULTRASONIC_FLAW,1
W-BLK-022,COA-SLOT-0024,ZONE_B_MS_TBM,PV,22.51,LINE_4_MAIN_UP,2026-09-16 12:00:00,2026-09-16 13:40:00,1.6666666666666667,1.67,14.5,12.83,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",5,TMS-DEF-0138; TDMS-DEF-0004; TMS-DEF-0299; TMS-DEF-0026; SMMS-DEF-0194,TMS: IMR_ULTRASONIC_FLAW | TDMS: NEUTRAL_SECTION_MAINTENANCE | TMS: IMR_ULTRASONIC_FLAW | TMS: RAIL_FRACTURE_RISK | SMMS: ELECTRONIC_INTERLOCKING_CARD,1
W-BLK-023,COA-SLOT-0022,ZONE_B_MS_TBM,GDY,15.01,LINE_3_MAIN_DN,2026-09-16 12:10:00,2026-09-16 13:50:00,1.6666666666666667,1.67,12.0,10.33,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",5,SMMS-DEF-0079; SMMS-DEF-0028; SMMS-DEF-0171; TDMS-DEF-0048; TMS-DEF-0298,SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: ELECTRONIC_INTERLOCKING_CARD | SMMS: POINT_GROUND_CONNECTION_WEAR | TDMS: INSULATOR_FLASHOVER_RISK | TMS: RAIL_FRACTURE_RISK,1
W-BLK-024,COA-SLOT-0023,ZONE_C_TBM_CGL,MMNK,46.96,3RD_LINE_BIDIRECTIONAL,2026-09-16 12:30:00,2026-09-16 14:15:00,1.75,1.75,12.5,10.75,1,2,"ELECTRICAL_TRD, S_AND_T",5,SMMS-DEF-0037; SMMS-DEF-0180; SMMS-DEF-0206; SMMS-DEF-0073; TDMS-DEF-0201,SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | TDMS: SECTION_INSULATOR_PITTING,1
W-BLK-025,COA-SLOT-0027,ZONE_C_TBM_CGL,VDR,34.55,3RD_LINE_BIDIRECTIONAL,2026-09-17 00:30:00,2026-09-17 04:00:00,3.5,3.5,8.0,4.5,1,2,"ELECTRICAL_TRD, S_AND_T",3,SMMS-DEF-0203; TDMS-DEF-0015; TDMS-DEF-0097,SMMS: ELECTRONIC_INTERLOCKING_CARD | TDMS: NEUTRAL_SECTION_MAINTENANCE | TDMS: CONTACT_WIRE_CONDEMNING_WEAR,1
W-BLK-026,COA-SLOT-0025,ZONE_B_MS_TBM,PZA,18.8,LINE_1_SUBURBAN_DN,2026-09-17 00:45:00,2026-09-17 03:45:00,3.0,3.0,12.5,9.5,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",4,SMMS-DEF-0181; TDMS-DEF-0046; TDMS-DEF-0187; TMS-DEF-0159,SMMS: POINT_GROUND_CONNECTION_WEAR | TDMS: CONTACT_WIRE_CONDEMNING_WEAR | TDMS: NEUTRAL_SECTION_MAINTENANCE | TMS: RAIL_FRACTURE_RISK,1
W-BLK-027,COA-SLOT-0029,ZONE_A_MSB_MS,MSB,0.1,LINE_1_SUBURBAN_DN,2026-09-17 01:00:00,2026-09-17 03:30:00,2.5,2.5,14.0,11.5,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",5,TDMS-DEF-0158; TDMS-DEF-0180; SMMS-DEF-0062; TDMS-DEF-0133; TMS-DEF-0161,TDMS: CONTACT_WIRE_CONDEMNING_WEAR | TDMS: CONTACT_WIRE_CONDEMNING_WEAR | SMMS: ELECTRONIC_INTERLOCKING_CARD | TDMS: CONTACT_WIRE_CONDEMNING_WEAR | TMS: RAIL_FRACTURE_RISK,1
W-BLK-028,COA-SLOT-0026,ZONE_B_MS_TBM,CMP,25.15,LINE_2_SUBURBAN_UP,2026-09-17 01:00:00,2026-09-17 04:00:00,3.0,3.0,9.5,6.5,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",4,SMMS-DEF-0195; TDMS-DEF-0100; TMS-DEF-0252; TDMS-DEF-0110,SMMS: ELECTRONIC_INTERLOCKING_CARD | TDMS: SECTION_INSULATOR_PITTING | TMS: RAIL_FRACTURE_RISK | TDMS: CATENARY_DROPPER_FATIGUE,1
W-BLK-029,COA-SLOT-0028,ZONE_C_TBM_CGL,CGL,59.7,LINE_1_SUBURBAN_DN,2026-09-17 01:15:00,2026-09-17 03:45:00,2.5,2.5,10.0,7.5,1,2,"ELECTRICAL_TRD, S_AND_T",4,TDMS-DEF-0107; SMMS-DEF-0083; SMMS-DEF-0143; SMMS-DEF-0155,TDMS: CONTACT_WIRE_CONDEMNING_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_MACHINE_MOTOR_SLUGGISH,1
W-BLK-030,COA-SLOT-0032,ZONE_B_MS_TBM,NBK,8.15,LINE_4_MAIN_UP,2026-09-17 12:00:00,2026-09-17 13:40:00,1.6666666666666667,1.67,11.5,9.83,1,2,"ENGINEERING_CIVIL, S_AND_T",5,SMMS-DEF-0026; SMMS-DEF-0221; SMMS-DEF-0045; SMMS-DEF-0169; TMS-DEF-0247,SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: AXLE_COUNTER_DRIFT | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | TMS: IMR_ULTRASONIC_FLAW,1
W-BLK-031,COA-SLOT-0030,ZONE_B_MS_TBM,TBMS,27.56,LINE_3_MAIN_DN,2026-09-17 12:10:00,2026-09-17 13:50:00,1.6666666666666667,1.67,10.0,8.33,0,1,S_AND_T,4,SMMS-DEF-0011; SMMS-DEF-0125; SMMS-DEF-0123; SMMS-DEF-0243,SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR,1
W-BLK-032,COA-SLOT-0031,ZONE_C_TBM_CGL,MMNK,47.11,3RD_LINE_BIDIRECTIONAL,2026-09-17 12:30:00,2026-09-17 14:15:00,1.75,1.75,6.0,4.25,0,1,S_AND_T,3,SMMS-DEF-0017; SMMS-DEF-0148; SMMS-DEF-0205,SMMS: ELECTRONIC_INTERLOCKING_CARD | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: POINT_GROUND_CONNECTION_WEAR,1
W-BLK-033,COA-SLOT-0035,ZONE_C_TBM_CGL,CGL,59.84,3RD_LINE_BIDIRECTIONAL,2026-09-18 00:30:00,2026-09-18 04:00:00,3.5,3.0,5.0,2.0,0,1,S_AND_T,2,SMMS-DEF-0087; SMMS-DEF-0160,SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR,1
W-BLK-034,COA-SLOT-0033,ZONE_B_MS_TBM,TLM,20.77,LINE_1_SUBURBAN_DN,2026-09-18 00:45:00,2026-09-18 03:45:00,3.0,3.0,10.5,7.5,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",4,TMS-DEF-0004; TMS-DEF-0177; SMMS-DEF-0055; TDMS-DEF-0057,TMS: IMR_ULTRASONIC_FLAW | TMS: RAIL_FRACTURE_RISK | SMMS: ELECTRONIC_INTERLOCKING_CARD | TDMS: INSULATOR_FLASHOVER_RISK,1
W-BLK-035,COA-SLOT-0034,ZONE_B_MS_TBM,CMP,24.92,LINE_2_SUBURBAN_UP,2026-09-18 01:00:00,2026-09-18 04:00:00,3.0,3.0,9.0,6.0,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",4,SMMS-DEF-0115; TMS-DEF-0180; SMMS-DEF-0048; TDMS-DEF-0149,SMMS: ELECTRONIC_INTERLOCKING_CARD | TMS: RAIL_FRACTURE_RISK | SMMS: AXLE_COUNTER_DRIFT | TDMS: SECTION_INSULATOR_PITTING,1
W-BLK-036,COA-SLOT-0037,ZONE_A_MSB_MS,MS,4.32,LINE_1_SUBURBAN_DN,2026-09-18 01:00:00,2026-09-18 03:30:00,2.5,2.5,7.0,4.5,0,1,S_AND_T,4,SMMS-DEF-0133; SMMS-DEF-0022; SMMS-DEF-0154; SMMS-DEF-0149,SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: SIGNAL_ASPECT_LED_DEGRADATION | SMMS: POINT_MACHINE_MOTOR_SLUGGISH,1
W-BLK-037,COA-SLOT-0040,ZONE_B_MS_TBM,STM,17.12,LINE_4_MAIN_UP,2026-09-18 12:00:00,2026-09-18 13:40:00,1.6666666666666667,1.67,14.0,12.33,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",5,SMMS-DEF-0081; SMMS-DEF-0240; SMMS-DEF-0082; TDMS-DEF-0035; TMS-DEF-0226,SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | TDMS: CONTACT_WIRE_CONDEMNING_WEAR | TMS: RAIL_FRACTURE_RISK,1
W-BLK-038,COA-SLOT-0038,ZONE_B_MS_TBM,SP,12.9,LINE_3_MAIN_DN,2026-09-18 12:10:00,2026-09-18 13:50:00,1.6666666666666667,1.67,9.0,7.33,0,1,S_AND_T,4,SMMS-DEF-0161; SMMS-DEF-0185; SMMS-DEF-0248; SMMS-DEF-0220,SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: ELECTRONIC_INTERLOCKING_CARD,1
W-BLK-039,COA-SLOT-0041,ZONE_B_MS_TBM,NBK,8.15,LINE_1_SUBURBAN_DN,2026-09-19 00:45:00,2026-09-19 03:45:00,3.0,3.0,10.5,7.5,1,2,"ENGINEERING_CIVIL, S_AND_T",4,SMMS-DEF-0024; SMMS-DEF-0008; SMMS-DEF-0047; TMS-DEF-0217,SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | TMS: RAIL_FRACTURE_RISK,1
W-BLK-040,COA-SLOT-0042,ZONE_B_MS_TBM,STM,17.12,LINE_2_SUBURBAN_UP,2026-09-19 01:00:00,2026-09-19 04:00:00,3.0,3.0,11.0,8.0,1,2,"ENGINEERING_CIVIL, S_AND_T",5,SMMS-DEF-0157; SMMS-DEF-0012; SMMS-DEF-0153; SMMS-DEF-0043; TMS-DEF-0225,SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | TMS: IMR_ULTRASONIC_FLAW,1
W-BLK-041,COA-SLOT-0045,ZONE_A_MSB_MS,MPK,3.11,LINE_1_SUBURBAN_DN,2026-09-19 01:00:00,2026-09-19 03:30:00,2.5,2.5,3.5,1.0,0,1,S_AND_T,2,SMMS-DEF-0031; SMMS-DEF-0183,SMMS: AXLE_COUNTER_DRIFT | SMMS: POINT_MACHINE_MOTOR_SLUGGISH,1
W-BLK-042,COA-SLOT-0048,ZONE_B_MS_TBM,MBM,11.37,LINE_4_MAIN_UP,2026-09-19 12:00:00,2026-09-19 13:40:00,1.6666666666666667,1.67,4.0,2.33,0,1,S_AND_T,2,SMMS-DEF-0166; SMMS-DEF-0034,SMMS: ELECTRONIC_INTERLOCKING_CARD | SMMS: POINT_GROUND_CONNECTION_WEAR,1
W-BLK-043,COA-SLOT-0046,ZONE_B_MS_TBM,TBM,29.14,LINE_3_MAIN_DN,2026-09-19 12:10:00,2026-09-19 13:50:00,1.6666666666666667,1.67,3.5,1.83,0,1,S_AND_T,2,SMMS-DEF-0244; SMMS-DEF-0020,SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: ELECTRONIC_INTERLOCKING_CARD,1
W-BLK-044,COA-SLOT-0049,ZONE_B_MS_TBM,STM,17.12,LINE_1_SUBURBAN_DN,2026-09-20 00:45:00,2026-09-20 03:45:00,3.0,3.0,6.0,3.0,0,1,S_AND_T,3,SMMS-DEF-0007; SMMS-DEF-0057; SMMS-DEF-0134,SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: ELECTRONIC_INTERLOCKING_CARD | SMMS: POINT_MACHINE_MOTOR_SLUGGISH,1
W-BLK-045,COA-SLOT-0050,ZONE_B_MS_TBM,MSC,6.11,LINE_2_SUBURBAN_UP,2026-09-20 01:00:00,2026-09-20 04:00:00,3.0,3.0,8.0,5.0,0,1,S_AND_T,4,SMMS-DEF-0188; SMMS-DEF-0191; SMMS-DEF-0140; SMMS-DEF-0187,SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: ELECTRONIC_INTERLOCKING_CARD | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_MACHINE_MOTOR_SLUGGISH,1
W-BLK-046,COA-SLOT-0057,ZONE_B_MS_TBM,PV,22.52,LINE_1_SUBURBAN_DN,2026-09-20 09:00:00,2026-09-20 15:00:00,6.0,4.0,3.5,-0.5,0,1,ENGINEERING_CIVIL,1,TMS-DEF-0209,TMS: RAIL_FRACTURE_RISK,1
